institution,country,subject,subject_rank,world_rank,overall_score,academic_score,employer_score,faculty_score,citations_score
Harvard University,United States,Accounting,1,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Accounting,2,,,,,,
Stanford University,United States,Accounting,3,3.0,98.5,100.0,100.0,100.0,99.9
University of Oxford,United Kingdom,Accounting,4,4.0,98.4,100.0,100.0,100.0,90.0
University of Chicago,United States,Accounting,5,10.0,93.2,99.2,92.2,92.9,86.8
University of Cambridge,United Kingdom,Accounting,6,2.0,98.8,100.0,100.0,100.0,92.3
"University of California, Berkeley (UCB)",United States,Accounting,7,27.0,82.7,100.0,100.0,23.9,99.9
The London School of Economics and Political Science (LSE),United Kingdom,Accounting,8,56.0,72.3,69.0,98.3,37.8,84.6
University of Pennsylvania,United States,Accounting,9,13.0,90.6,96.5,92.5,99.9,70.9
Yale University,United States,Accounting,10,18.0,89.0,99.9,100.0,100.0,51.5
New York University (NYU),United States,Accounting,11,39.0,80.3,95.9,99.0,98.1,28.9
Columbia University,United States,Accounting,12,22.0,86.7,99.7,98.1,100.0,47.2
National University of Singapore (NUS),Singapore,Accounting,12,11.0,92.7,99.5,94.1,79.8,91.8
Peking University,China (Mainland),Accounting,14,12.0,91.3,99.3,96.5,87.3,96.7
"University of California, Los Angeles (UCLA)",United States,Accounting,14,44.0,78.7,100.0,99.9,37.7,85.9
Tsinghua University,China (Mainland),Accounting,16,14.0,90.1,98.9,97.7,92.8,98.1
University of Toronto,Canada,Accounting,17,35.0,81.5,99.6,98.3,65.6,43.5
London Business School,United Kingdom,Accounting,18,,,,,,
Università Commerciale Luigi Bocconi (Bocconi University),Italy,Accounting,19,,,,,,
"Nanyang Technological University, Singapore (NTU)",Singapore,Accounting,20,19.0,88.4,90.4,76.1,83.2,94.1
Imperial College London,United Kingdom,Accounting,21,7.0,97.0,98.3,99.7,99.5,86.5
The University of New South Wales (UNSW Sydney),Australia,Accounting,22,45.0,78.0,89.0,91.1,16.8,97.6
The University of Manchester,United Kingdom,Accounting,23,28.0,82.3,95.1,97.7,63.1,59.0
HEC Paris,France,Accounting,24,,,,,,
Northwestern University,United States,Accounting,25,32.0,81.8,84.4,71.9,98.3,84.2
Princeton University,United States,Accounting,26,17.0,89.2,99.9,98.9,72.6,100.0
The University of Melbourne,Australia,Accounting,27,33.0,81.6,98.6,94.9,17.9,95.0
The University of Hong Kong,"Hong Kong SAR, China",Accounting,28,21.0,87.0,97.4,62.9,84.2,72.6
The University of Sydney,Australia,Accounting,29,41.0,79.6,96.2,91.7,15.6,92.1
University of Texas at Austin,United States,Accounting,30,72.0,67.4,93.7,85.2,9.8,90.9
University of Michigan-Ann Arbor,United States,Accounting,31,25.0,84.4,98.5,91.3,88.9,62.5
Cornell University,United States,Accounting,32,20.0,87.2,98.3,91.4,62.2,99.3
The University of Tokyo,Japan,Accounting,32,23.0,85.3,100.0,99.7,91.9,73.3
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Accounting,34,40.0,79.8,82.0,50.1,62.6,98.6
University of British Columbia,Canada,Accounting,34,47.0,77.0,98.0,95.4,56.5,42.1
Seoul National University,Republic of Korea,Accounting,36,29.0,82.2,98.6,97.8,87.0,70.3
Fudan University,China (Mainland),Accounting,37,34.0,81.5,83.6,93.5,89.3,70.4
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Accounting,37,38.0,80.6,87.3,49.6,60.9,92.9
Duke University,United States,Accounting,39,50.0,74.8,86.1,79.8,100.0,41.2
Shanghai Jiao Tong University,China (Mainland),Accounting,40,46.0,77.4,82.7,90.2,57.7,97.1
Monash University,Australia,Accounting,41,57.0,71.6,87.6,80.8,11.2,79.3
INSEAD (France),France,Accounting,42,,,,,,
The Australian National University,Australia,Accounting,43,30.0,82.1,93.6,70.1,38.0,99.3
The University of Warwick,United Kingdom,Accounting,44,64.0,69.1,71.8,89.3,43.1,63.1
Erasmus University Rotterdam,Netherlands,Accounting,45,,,,,,
UCL,United Kingdom,Accounting,46,8.0,95.0,99.4,98.6,97.6,77.0
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Accounting,47,9.0,93.6,98.6,91.3,74.2,99.2
University of Illinois at Urbana-Champaign,United States,Accounting,48,85.0,63.6,85.6,60.9,9.5,88.7
The University of Edinburgh,United Kingdom,Accounting,49,15.0,89.5,98.0,97.2,81.1,70.1
Korea University,Republic of Korea,Accounting,50,74.0,66.9,79.3,93.9,86.1,29.5
Wageningen University & Research,Netherlands,Agriculture,1,124.0,54.6,42.8,17.0,97.4,48.2
"University of California, Davis",United States,Agriculture,2,102.0,58.2,64.8,51.0,27.1,68.7
Swedish University of Agricultural Sciences,Sweden,Agriculture,3,,,,,,
China Agricultural University,China (Mainland),Agriculture,4,,,,,,
Cornell University,United States,Agriculture,5,20.0,87.2,98.3,91.4,62.2,99.3
Purdue University,United States,Agriculture,6,129.0,54.2,62.7,73.1,11.7,70.9
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Agriculture,7,9.0,93.6,98.6,91.3,74.2,99.2
Ghent University,Belgium,Agriculture,8,143.0,51.6,54.0,30.1,83.2,26.9
"University of California, Berkeley (UCB)",United States,Agriculture,9,27.0,82.7,100.0,100.0,23.9,99.9
Norwegian University of Life Sciences (UMB),Norway,Agriculture,10,,,,,,
Michigan State University,United States,Agriculture,11,159.0,48.9,60.5,61.4,12.9,58.9
Iowa State University,United States,Agriculture,12,483.0,24.8,19.4,13.9,7.9,65.8
Texas A&M University,United States,Agriculture,13,164.0,47.9,61.5,65.0,5.0,67.8
Nanjing Agricultural University,China (Mainland),Agriculture,14,867.0,,4.8,1.8,7.9,46.3
The University of Queensland,Australia,Agriculture,15,51.0,74.8,86.6,75.6,20.2,90.8
University of Copenhagen,Denmark,Agriculture,16,82.0,64.1,72.8,36.6,100.0,26.0
University of Florida,United States,Agriculture,17,188.0,45.3,48.5,47.0,71.4,26.4
University of Wisconsin-Madison,United States,Agriculture,18,83.0,63.7,82.4,48.1,70.6,41.9
University of Illinois at Urbana-Champaign,United States,Agriculture,19,85.0,63.6,85.6,60.9,9.5,88.7
University of Reading,United Kingdom,Agriculture,20,229.0,40.4,33.2,29.1,20.9,55.0
"L'Institut Agro (L'Institut Agro Dijon, L'Institut Agro Montpellier, L'Institut Agro Rennes Angers)",France,Agriculture,21,,,,,,
University of Göttingen,Germany,Agriculture,21,216.0,42.2,49.3,21.5,64.1,18.7
Northwest Agriculture and Forestry University,China (Mainland),Agriculture,23,874.0,,3.1,1.1,32.3,21.8
The Ohio State University,United States,Agriculture,24,140.0,52.0,61.1,62.2,51.1,34.6
University of British Columbia,Canada,Agriculture,25,47.0,77.0,98.0,95.4,56.5,42.1
University of Hohenheim,Germany,Agriculture,26,968.0,,9.0,4.3,8.4,30.4
The University of Tokyo,Japan,Agriculture,27,23.0,85.3,100.0,99.7,91.9,73.3
South China Agricultural University,China (Mainland),Agriculture,28,,,,,,
Universität für Bodenkultur Wien,Austria,Agriculture,28,,,,,,
University of Guelph,Canada,Agriculture,30,597.0,,13.5,31.5,6.0,41.7
KU Leuven,Belgium,Agriculture,31,76.0,66.0,83.8,53.0,7.7,92.7
North Carolina State University,United States,Agriculture,31,313.0,34.1,29.2,23.0,11.3,68.3
The University of Melbourne,Australia,Agriculture,33,33.0,81.6,98.6,94.9,17.9,95.0
"University of Agriculture, Faisalabad",Pakistan,Agriculture,34,,,,,,
University of Helsinki,Finland,Agriculture,35,107.0,57.8,65.3,44.6,66.5,49.8
University of Minnesota Twin Cities,United States,Agriculture,35,186.0,45.4,60.1,28.2,38.2,49.2
The Australian National University,Australia,Agriculture,37,30.0,82.1,93.6,70.1,38.0,99.3
The University of Western Australia,Australia,Agriculture,37,90.0,61.7,55.6,49.9,21.8,98.9
Warsaw University of Life Sciences – SGGW (WULS-SGGW),Poland,Agriculture,38,1200.0,,7.3,7.2,21.9,5.4
Seoul National University,Republic of Korea,Agriculture,39,29.0,82.2,98.6,97.8,87.0,70.3
Université Paris-Saclay,France,Agriculture,39,69.0,68.1,57.2,99.2,99.7,49.5
Huazhong Agricultural University,China (Mainland),Agriculture,41,1052.0,,3.1,1.7,6.9,36.2
University of Massachusetts Amherst,United States,Agriculture,42,253.0,38.3,40.7,16.8,13.7,65.3
Aarhus University,Denmark,Agriculture,43,161.0,48.6,55.6,33.5,32.4,55.2
Kyoto University,Japan,Agriculture,44,36.0,81.4,98.6,98.9,94.8,54.2
Technical University of Munich,Germany,Agriculture,45,49.0,76.4,84.0,96.8,96.4,25.8
Oregon State University,United States,Agriculture,46,625.0,,16.2,7.0,24.0,37.2
University of Nebraska - Lincoln,United States,Agriculture,46,700.0,,10.5,5.3,19.4,38.4
Kansas State University,United States,Agriculture,48,,,,,,
IPB University (a.k.a. Bogor Agricultural University),Indonesia,Agriculture,49,,,,,,
The University of Georgia,United States,Agriculture,49,634.0,,21.2,27.2,11.7,31.5
Tokyo University of Agriculture and Technology,Japan,Agriculture,49,,,,,,
University of Oxford,United Kingdom,Anatomy,1,4.0,98.4,100.0,100.0,100.0,90.0
Stanford University,United States,Anatomy,2,3.0,98.5,100.0,100.0,100.0,99.9
University of Cambridge,United Kingdom,Anatomy,3,2.0,98.8,100.0,100.0,100.0,92.3
Johns Hopkins University,United States,Anatomy,4,24.0,85.1,87.9,47.2,100.0,87.3
Duke University,United States,Anatomy,5,50.0,74.8,86.1,79.8,100.0,41.2
McGill University,Canada,Anatomy,5,31.0,81.9,93.3,93.6,68.9,59.6
University of Toronto,Canada,Anatomy,5,35.0,81.5,99.6,98.3,65.6,43.5
Columbia University,United States,Anatomy,8,22.0,86.7,99.7,98.1,100.0,47.2
"University of California, Los Angeles (UCLA)",United States,Anatomy,9,44.0,78.7,100.0,99.9,37.7,85.9
University of British Columbia,Canada,Anatomy,10,47.0,77.0,98.0,95.4,56.5,42.1
UCL,United Kingdom,Anatomy,11,8.0,95.0,99.4,98.6,97.6,77.0
University of Copenhagen,Denmark,Anatomy,12,82.0,64.1,72.8,36.6,100.0,26.0
University of Glasgow,United Kingdom,Anatomy,13,81.0,64.6,75.1,75.1,50.5,34.7
Peking University,China (Mainland),Anatomy,14,12.0,91.3,99.3,96.5,87.3,96.7
National University of Singapore (NUS),Singapore,Anatomy,15,11.0,92.7,99.5,94.1,79.8,91.8
Imperial College London,United Kingdom,Anatomy,16,7.0,97.0,98.3,99.7,99.5,86.5
University of Pennsylvania,United States,Anatomy,17,13.0,90.6,96.5,92.5,99.9,70.9
"University of California, San Diego (UCSD)",United States,Anatomy,18,53.0,74.5,90.0,61.6,55.6,77.0
Washington University in St. Louis,United States,Anatomy,19,119.0,55.8,40.1,15.3,99.9,55.6
The University of Sydney,Australia,Anatomy,20,41.0,79.6,96.2,91.7,15.6,92.1
Zhejiang University,China (Mainland),Anatomy,21,43.0,79.3,72.2,95.3,78.7,88.4
Northwestern University,United States,Anatomy,22,32.0,81.8,84.4,71.9,98.3,84.2
Shanghai Jiao Tong University,China (Mainland),Anatomy,23,46.0,77.4,82.7,90.2,57.7,97.1
Tsinghua University,China (Mainland),Anatomy,24,14.0,90.1,98.9,97.7,92.8,98.1
University of Michigan-Ann Arbor,United States,Anatomy,25,25.0,84.4,98.5,91.3,88.9,62.5
King's College London,United Kingdom,Anatomy,26,37.0,81.2,88.8,83.2,74.5,60.5
The University of Tokyo,Japan,Anatomy,26,23.0,85.3,100.0,99.7,91.9,73.3
University of Southern California,United States,Anatomy,28,134.0,53.7,54.6,59.1,28.4,71.7
The University of Manchester,United Kingdom,Anatomy,29,28.0,82.3,95.1,97.7,63.1,59.0
The University of Melbourne,Australia,Anatomy,30,33.0,81.6,98.6,94.9,17.9,95.0
The University of Western Australia,Australia,Anatomy,30,90.0,61.7,55.6,49.9,21.8,98.9
Monash University,Australia,Anatomy,32,57.0,71.6,87.6,80.8,11.2,79.3
The University of Edinburgh,United Kingdom,Anatomy,33,15.0,89.5,98.0,97.2,81.1,70.1
New York University (NYU),United States,Anatomy,34,39.0,80.3,95.9,99.0,98.1,28.9
University of Otago,New Zealand,Anatomy,35,218.0,42.0,47.1,34.3,12.5,51.4
University of Birmingham,United Kingdom,Anatomy,36,91.0,61.1,66.0,74.7,44.1,45.9
University of Leeds,United Kingdom,Anatomy,37,86.0,62.8,70.2,78.4,41.6,47.8
Fudan University,China (Mainland),Anatomy,38,34.0,81.5,83.6,93.5,89.3,70.4
Sorbonne University,France,Anatomy,39,60.0,70.1,90.0,41.7,40.6,86.3
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Anatomy,39,38.0,80.6,87.3,49.6,60.9,92.9
University of Alberta,Canada,Anatomy,41,110.0,56.9,55.1,48.9,51.5,53.9
The University of Adelaide,Australia,Anatomy,42,109.0,57.0,52.3,35.2,17.2,94.5
Kyoto University,Japan,Anatomy,43,36.0,81.4,98.6,98.9,94.8,54.2
Ludwig-Maximilians-Universität München,Germany,Anatomy,44,59.0,70.4,92.6,75.7,56.0,45.5
"University of California, San Francisco (UCSF)",United States,Anatomy,45,,,,,,
The University of Texas Southwestern Medical Center at Dallas,United States,Anatomy,46,,,,,,
University of Calgary,Canada,Anatomy,47,242.0,39.0,36.1,50.5,21.2,41.9
The University of Queensland,Australia,Anatomy,48,51.0,74.8,86.6,75.6,20.2,90.8
"University of North Carolina, Chapel Hill",United States,Anatomy,48,103.0,58.2,65.5,44.7,80.4,46.6
The University of Hong Kong,"Hong Kong SAR, China",Anatomy,50,21.0,87.0,97.4,62.9,84.2,72.6
Harvard University,United States,Anthropology,1,5.0,97.6,100.0,100.0,99.4,100.0
University of Oxford,United Kingdom,Anthropology,2,4.0,98.4,100.0,100.0,100.0,90.0
University of Cambridge,United Kingdom,Anthropology,3,2.0,98.8,100.0,100.0,100.0,92.3
UCL,United Kingdom,Anthropology,4,8.0,95.0,99.4,98.6,97.6,77.0
"University of California, Berkeley (UCB)",United States,Anthropology,5,27.0,82.7,100.0,100.0,23.9,99.9
Stanford University,United States,Anthropology,6,3.0,98.5,100.0,100.0,100.0,99.9
University of Chicago,United States,Anthropology,6,10.0,93.2,99.2,92.2,92.9,86.8
"University of California, Los Angeles (UCLA)",United States,Anthropology,8,44.0,78.7,100.0,99.9,37.7,85.9
The Australian National University,Australia,Anthropology,9,30.0,82.1,93.6,70.1,38.0,99.3
University of Michigan-Ann Arbor,United States,Anthropology,10,25.0,84.4,98.5,91.3,88.9,62.5
The London School of Economics and Political Science (LSE),United Kingdom,Anthropology,11,56.0,72.3,69.0,98.3,37.8,84.6
University of Toronto,Canada,Anthropology,12,35.0,81.5,99.6,98.3,65.6,43.5
New York University (NYU),United States,Anthropology,13,39.0,80.3,95.9,99.0,98.1,28.9
Yale University,United States,Anthropology,13,18.0,89.0,99.9,100.0,100.0,51.5
Universidad Nacional Autónoma de México (UNAM),Mexico,Anthropology,15,105.0,58.0,96.0,95.1,43.2,2.9
National University of Singapore (NUS),Singapore,Anthropology,16,11.0,92.7,99.5,94.1,79.8,91.8
The University of Edinburgh,United Kingdom,Anthropology,17,15.0,89.5,98.0,97.2,81.1,70.1
SOAS University of London,United Kingdom,Anthropology,18,,,,,,
Columbia University,United States,Anthropology,19,22.0,86.7,99.7,98.1,100.0,47.2
University of Amsterdam,Netherlands,Anthropology,20,58.0,71.1,82.7,42.3,26.7,97.3
The University of Manchester,United Kingdom,Anthropology,21,28.0,82.3,95.1,97.7,63.1,59.0
University of British Columbia,Canada,Anthropology,22,47.0,77.0,98.0,95.4,56.5,42.1
The University of Melbourne,Australia,Anthropology,23,33.0,81.6,98.6,94.9,17.9,95.0
Princeton University,United States,Anthropology,24,17.0,89.2,99.9,98.9,72.6,100.0
The University of Hong Kong,"Hong Kong SAR, China",Anthropology,25,21.0,87.0,97.4,62.9,84.2,72.6
Universidade de São Paulo,Brazil,Anthropology,25,115.0,56.1,91.8,69.9,17.4,40.6
Leiden University,Netherlands,Anthropology,27,132.0,54.1,68.1,23.4,22.2,65.8
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Anthropology,28,38.0,80.6,87.3,49.6,60.9,92.9
Durham University,United Kingdom,Anthropology,29,92.0,60.9,57.9,89.2,31.0,65.7
McGill University,Canada,Anthropology,30,31.0,81.9,93.3,93.6,68.9,59.6
University of Pennsylvania,United States,Anthropology,30,13.0,90.6,96.5,92.5,99.9,70.9
The University of Tokyo,Japan,Anthropology,32,23.0,85.3,100.0,99.7,91.9,73.3
The University of Sydney,Australia,Anthropology,33,41.0,79.6,96.2,91.7,15.6,92.1
Duke University,United States,Anthropology,34,50.0,74.8,86.1,79.8,100.0,41.2
Aarhus University,Denmark,Anthropology,35,161.0,48.6,55.6,33.5,32.4,55.2
Arizona State University,United States,Anthropology,36,219.0,41.8,46.7,40.2,8.2,59.9
University of Copenhagen,Denmark,Anthropology,36,82.0,64.1,72.8,36.6,100.0,26.0
University of Texas at Austin,United States,Anthropology,36,72.0,67.4,93.7,85.2,9.8,90.9
Kyoto University,Japan,Anthropology,39,36.0,81.4,98.6,98.9,94.8,54.2
Universidad de Buenos Aires (UBA),Argentina,Anthropology,40,67.0,68.9,92.3,94.0,76.0,1.8
Cornell University,United States,Anthropology,41,20.0,87.2,98.3,91.4,62.2,99.3
University of Wisconsin-Madison,United States,Anthropology,42,83.0,63.7,82.4,48.1,70.6,41.9
The University of Arizona,United States,Anthropology,43,263.0,37.8,39.6,22.4,67.6,21.5
University of Vienna,Austria,Anthropology,44,151.0,50.6,69.4,55.3,24.2,14.1
University of Oslo,Norway,Anthropology,45,101.0,58.7,54.9,14.5,83.8,62.7
Université Paris 1 Panthéon-Sorbonne,France,Anthropology,46,,,,,,
Brown University,United States,Anthropology,47,63.0,69.6,57.6,54.2,80.8,89.9
Peking University,China (Mainland),Anthropology,47,12.0,91.3,99.3,96.5,87.3,96.7
Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,Anthropology,49,,,,,,
Freie Universitaet Berlin,Germany,Anthropology,49,118.0,55.8,80.7,44.9,4.0,63.5
University of Cambridge,United Kingdom,Archaeology,1,2.0,98.8,100.0,100.0,100.0,92.3
University of Oxford,United Kingdom,Archaeology,2,4.0,98.4,100.0,100.0,100.0,90.0
UCL,United Kingdom,Archaeology,3,8.0,95.0,99.4,98.6,97.6,77.0
Leiden University,Netherlands,Archaeology,4,132.0,54.1,68.1,23.4,22.2,65.8
Peking University,China (Mainland),Archaeology,5,12.0,91.3,99.3,96.5,87.3,96.7
Durham University,United Kingdom,Archaeology,6,92.0,60.9,57.9,89.2,31.0,65.7
Harvard University,United States,Archaeology,7,5.0,97.6,100.0,100.0,99.4,100.0
Stanford University,United States,Archaeology,8,3.0,98.5,100.0,100.0,100.0,99.9
"University of California, Berkeley (UCB)",United States,Archaeology,9,27.0,82.7,100.0,100.0,23.9,99.9
The Australian National University,Australia,Archaeology,10,30.0,82.1,93.6,70.1,38.0,99.3
Sapienza University of Rome,Italy,Archaeology,11,171.0,46.8,78.0,36.6,4.5,50.2
Eberhard Karls Universität Tübingen,Germany,Archaeology,12,169.0,47.2,44.7,21.0,96.7,14.9
The University of Tokyo,Japan,Archaeology,13,23.0,85.3,100.0,99.7,91.9,73.3
"University of California, Los Angeles (UCLA)",United States,Archaeology,14,44.0,78.7,100.0,99.9,37.7,85.9
Université Paris 1 Panthéon-Sorbonne,France,Archaeology,15,,,,,,
Arizona State University,United States,Archaeology,16,219.0,41.8,46.7,40.2,8.2,59.9
The University of Arizona,United States,Archaeology,17,263.0,37.8,39.6,22.4,67.6,21.5
University of Chicago,United States,Archaeology,17,10.0,93.2,99.2,92.2,92.9,86.8
Aarhus University,Denmark,Archaeology,19,161.0,48.6,55.6,33.5,32.4,55.2
Christian-Albrechts-University zu Kiel,Germany,Archaeology,20,525.0,,18.8,10.3,49.4,22.8
Yale University,United States,Archaeology,21,18.0,89.0,99.9,100.0,100.0,51.5
University of Pennsylvania,United States,Archaeology,22,13.0,90.6,96.5,92.5,99.9,70.9
Freie Universitaet Berlin,Germany,Archaeology,23,118.0,55.8,80.7,44.9,4.0,63.5
Ruprecht-Karls-Universität Heidelberg,Germany,Archaeology,23,65.0,69.0,78.7,40.3,99.8,41.1
Kyoto University,Japan,Archaeology,25,36.0,81.4,98.6,98.9,94.8,54.2
University of York,United Kingdom,Archaeology,25,162.0,48.4,43.3,36.1,45.0,48.6
The University of Auckland,New Zealand,Archaeology,27,87.0,62.7,81.5,48.3,22.4,54.1
University of Michigan-Ann Arbor,United States,Archaeology,28,25.0,84.4,98.5,91.3,88.9,62.5
The University of Edinburgh,United Kingdom,Archaeology,29,15.0,89.5,98.0,97.2,81.1,70.1
The University of Sheffield,United Kingdom,Archaeology,29,96.0,59.5,58.7,53.5,59.4,46.9
University of Toronto,Canada,Archaeology,31,35.0,81.5,99.6,98.3,65.6,43.5
The University of Melbourne,Australia,Archaeology,32,33.0,81.6,98.6,94.9,17.9,95.0
The University of Sydney,Australia,Archaeology,33,41.0,79.6,96.2,91.7,15.6,92.1
Aix-Marseille University,France,Archaeology,34,490.0,24.5,36.0,3.5,9.1,28.8
Universidad Nacional Autónoma de México (UNAM),Mexico,Archaeology,34,105.0,58.0,96.0,95.1,43.2,2.9
University of Southampton,United Kingdom,Archaeology,36,78.0,65.0,50.7,56.6,63.3,82.7
University of Glasgow,United Kingdom,Archaeology,37,81.0,64.6,75.1,75.1,50.5,34.7
Princeton University,United States,Archaeology,38,17.0,89.2,99.9,98.9,72.6,100.0
University of British Columbia,Canada,Archaeology,39,47.0,77.0,98.0,95.4,56.5,42.1
University of Leicester,United Kingdom,Archaeology,40,279.0,36.6,22.2,14.9,44.6,42.7
Alma Mater Studiorum - University of Bologna,Italy,Archaeology,41,167.0,47.5,78.5,43.1,3.5,49.7
University of Copenhagen,Denmark,Archaeology,41,82.0,64.1,72.8,36.6,100.0,26.0
Universidade de São Paulo,Brazil,Archaeology,43,115.0,56.1,91.8,69.9,17.4,40.6
Fudan University,China (Mainland),Archaeology,44,34.0,81.5,83.6,93.5,89.3,70.4
The University of Exeter,United Kingdom,Archaeology,45,163.0,48.2,41.1,56.1,31.5,55.3
Ludwig-Maximilians-Universität München,Germany,Archaeology,46,59.0,70.4,92.6,75.7,56.0,45.5
The University of Queensland,Australia,Archaeology,47,51.0,74.8,86.6,75.6,20.2,90.8
University of Vienna,Austria,Archaeology,47,151.0,50.6,69.4,55.3,24.2,14.1
University of Reading,United Kingdom,Archaeology,49,229.0,40.4,33.2,29.1,20.9,55.0
Seoul National University,Republic of Korea,Archaeology,50,29.0,82.2,98.6,97.8,87.0,70.3
The Bartlett School of Architecture  | UCL,United Kingdom,Architecture,1,,,,,,
Massachusetts Institute of Technology (MIT),United States,Architecture,2,,,,,,
Delft University of Technology,Netherlands,Architecture,3,61.0,70.0,71.6,80.2,34.5,84.4
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Architecture,4,9.0,93.6,98.6,91.3,74.2,99.2
Manchester School of Architecture,United Kingdom,Architecture,5,,,,,,
Harvard University,United States,Architecture,6,5.0,97.6,100.0,100.0,99.4,100.0
Politecnico di Milano,Italy,Architecture,7,139.0,52.4,67.8,76.8,5.4,53.5
Tsinghua University,China (Mainland),Architecture,7,14.0,90.1,98.9,97.7,92.8,98.1
National University of Singapore (NUS),Singapore,Architecture,9,11.0,92.7,99.5,94.1,79.8,91.8
"University of California, Berkeley (UCB)",United States,Architecture,10,27.0,82.7,100.0,100.0,23.9,99.9
Tongji University,China (Mainland),Architecture,11,212.0,42.4,33.2,10.0,26.6,87.5
University of Cambridge,United Kingdom,Architecture,12,2.0,98.8,100.0,100.0,100.0,92.3
The University of Hong Kong,"Hong Kong SAR, China",Architecture,13,21.0,87.0,97.4,62.9,84.2,72.6
EPFL,Switzerland,Architecture,14,16.0,89.2,83.7,71.8,91.1,99.4
The University of Tokyo,Japan,Architecture,15,23.0,85.3,100.0,99.7,91.9,73.3
Columbia University,United States,Architecture,16,22.0,86.7,99.7,98.1,100.0,47.2
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Architecture,17,66.0,69.0,66.1,37.0,78.4,68.9
Georgia Institute of Technology,United States,Architecture,18,88.0,62.3,67.7,77.0,11.1,95.5
Cornell University,United States,Architecture,19,20.0,87.2,98.3,91.4,62.2,99.3
Politecnico di Torino,Italy,Architecture,20,325.0,33.1,36.6,47.3,2.5,54.0
RMIT University,Australia,Architecture,21,190.0,44.6,36.6,55.5,6.7,66.0
Peking University,China (Mainland),Architecture,22,12.0,91.3,99.3,96.5,87.3,96.7
The University of New South Wales (UNSW Sydney),Australia,Architecture,23,45.0,78.0,89.0,91.1,16.8,97.6
Shanghai Jiao Tong University,China (Mainland),Architecture,24,46.0,77.4,82.7,90.2,57.7,97.1
Stanford University,United States,Architecture,24,3.0,98.5,100.0,100.0,100.0,99.9
The University of Melbourne,Australia,Architecture,26,33.0,81.6,98.6,94.9,17.9,95.0
Technische Universität Berlin (TU Berlin),Germany,Architecture,27,158.0,49.3,55.1,64.9,48.5,23.6
"University of California, Los Angeles (UCLA)",United States,Architecture,27,44.0,78.7,100.0,99.9,37.7,85.9
Technical University of Munich,Germany,Architecture,29,49.0,76.4,84.0,96.8,96.4,25.8
The University of Sydney,Australia,Architecture,30,41.0,79.6,96.2,91.7,15.6,92.1
Tianjin University,China (Mainland),Architecture,30,308.0,34.4,18.3,4.3,31.2,92.0
Yale University,United States,Architecture,32,18.0,89.0,99.9,100.0,100.0,51.5
Seoul National University,Republic of Korea,Architecture,33,29.0,82.2,98.6,97.8,87.0,70.3
University of Oxford,United Kingdom,Architecture,33,4.0,98.4,100.0,100.0,100.0,90.0
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Architecture,35,38.0,80.6,87.3,49.6,60.9,92.9
"Nanyang Technological University, Singapore (NTU)",Singapore,Architecture,36,19.0,88.4,90.4,76.1,83.2,94.1
Universidad Politécnica de Madrid (UPM),Spain,Architecture,36,489.0,24.6,30.8,50.1,17.4,10.8
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Architecture,38,344.0,31.4,32.5,25.8,45.1,24.7
University of Pennsylvania,United States,Architecture,39,13.0,90.6,96.5,92.5,99.9,70.9
Princeton University,United States,Architecture,40,17.0,89.2,99.9,98.9,72.6,100.0
University of Michigan-Ann Arbor,United States,Architecture,40,25.0,84.4,98.5,91.3,88.9,62.5
KTH Royal Institute of Technology,Sweden,Architecture,42,,,,,,
Zhejiang University,China (Mainland),Architecture,43,43.0,79.3,72.2,95.3,78.7,88.4
The University of Sheffield,United Kingdom,Architecture,44,96.0,59.5,58.7,53.5,59.4,46.9
Tokyo Institute of Technology (Tokyo Tech),Japan,Architecture,45,55.0,72.5,74.1,93.4,81.5,65.9
Harbin Institute of Technology,China (Mainland),Architecture,46,217.0,42.0,26.6,8.9,50.5,96.5
Southeast University,China (Mainland),Architecture,46,463.0,25.5,11.1,6.0,29.5,68.7
Yonsei University,Republic of Korea,Architecture,48,73.0,67.0,75.5,95.5,88.6,28.4
Aalto University,Finland,Architecture,49,116.0,55.9,44.5,45.8,44.4,89.3
Purdue University,United States,Architecture,49,129.0,54.2,62.7,73.1,11.7,70.9
Royal College of Art,United Kingdom,Art & Design,1,,,,,,
University of the Arts London,United Kingdom,Art & Design,2,,,,,,
Parsons School of Design at The New School,United States,Art & Design,3,,,,,,
Rhode Island School of Design (RISD),United States,Art & Design,4,,,,,,
Massachusetts Institute of Technology (MIT),United States,Art & Design,5,,,,,,
Politecnico di Milano,Italy,Art & Design,6,139.0,52.4,67.8,76.8,5.4,53.5
Pratt Institute,United States,Art & Design,7,,,,,,
Aalto University,Finland,Art & Design,8,116.0,55.9,44.5,45.8,44.4,89.3
School of the Art Institute of Chicago (SAIC),United States,Art & Design,9,,,,,,
